taxa	lat	long
EPI_ISL_1167924	-33.3900793453065	-70.5530496927669
EPI_ISL_1167925	-33.5902291088403	-70.6566591620429
EPI_ISL_1167926	-35.3431886219445	-72.3122355341648
EPI_ISL_1167927	-33.5988986232348	-70.8567233023094
EPI_ISL_1167930	-35.043065693045	-71.1926303703721
EPI_ISL_1300449	-33.5163844134253	-70.6847736332276
EPI_ISL_1300519	-36.8425645632683	-72.4690231535589
EPI_ISL_1321447	-33.5887816316345	-70.6332599303187
EPI_ISL_1321455	-33.6179186583688	-70.539772058668
EPI_ISL_1321457	-33.5294948209461	-70.6297776336246
EPI_ISL_1321460	-33.6193642894546	-70.6193760609663
EPI_ISL_1321461	-33.5863493181124	-70.6982176281666
EPI_ISL_1321462	-33.6229524874442	-70.620642471292
EPI_ISL_1321464	-33.5277218768109	-70.6248044622177
EPI_ISL_1321467	-33.3021758212765	-70.8727281439709
EPI_ISL_1470416	-33.4529595145439	-70.8413185702638
EPI_ISL_1470544	-39.5778547648882	-72.0803798267052
EPI_ISL_1534553	-33.5692684805601	-70.6042551896965
EPI_ISL_1534577	-33.6020674423043	-70.6560039549682
EPI_ISL_1534585	-33.6163348878035	-70.6289804244562
EPI_ISL_1540999	-33.5246055351642	-70.6294179982192
EPI_ISL_1541000	-33.5274829580572	-70.6305255530813
EPI_ISL_1541044	-41.0228237398761	-73.1155466028587
EPI_ISL_1541051	-36.9408897525096	-73.1477247477619
EPI_ISL_1633374	-39.8582170093038	-73.3401567875449
EPI_ISL_1633375	-39.68463480558	-72.9654233595668
EPI_ISL_1633376	-39.6644576421568	-72.7912271930344
EPI_ISL_1633377	-39.7300658047387	-73.3145420389178
EPI_ISL_1633409	-39.6847392725558	-72.7666877636741
EPI_ISL_1633509	-33.5215617380469	-70.7343855818255
EPI_ISL_1633522	-33.5501772996179	-70.6146895078016
EPI_ISL_1712375	-39.8520577208908	-73.1209799843834
EPI_ISL_1712376	-39.7545935676106	-73.2703598773813
EPI_ISL_1712377	-39.8072088801852	-73.3716636696273
EPI_ISL_2009206	-33.5214791379536	-70.641448262506
EPI_ISL_2009208	-39.8939984675832	-72.8513914109903
EPI_ISL_2009278	-40.6089724474217	-73.1246353966634
EPI_ISL_2009536	-35.3829297265597	-71.6463525214368
EPI_ISL_2009598	-27.8175854915655	-70.5122048157285
EPI_ISL_2009599	-39.8451381130535	-73.3505983579202
EPI_ISL_2391065	-40.121947903043	-73.3340169958903
EPI_ISL_2391154	-24.1036101188059	-70.2841340730204
EPI_ISL_2391235	-39.7964131565298	-73.2020275214779
EPI_ISL_2391237	-39.8457608571003	-72.9180250527051
EPI_ISL_2391240	-40.2119845217244	-72.0671556809148
EPI_ISL_2391269	-30.1792819249264	-71.4558765118619
EPI_ISL_2391334	-34.185579757953	-70.8252253627915
EPI_ISL_2391421	-33.5448538995787	-70.6293740068503
EPI_ISL_2508570	-45.96213995166	-71.7803266050146
EPI_ISL_2508578	-38.6736651113782	-72.5294460133533
EPI_ISL_2509162	-33.5381228782584	-70.6121501346877
EPI_ISL_2543507	-33.5399955638378	-70.6283556489219
EPI_ISL_2543594	-36.9754645030753	-72.9500324956832
EPI_ISL_2557275	-39.7717407320066	-73.1599649095703
EPI_ISL_2557304	-33.4419169697345	-70.5986232466678
EPI_ISL_2597291	-39.8295842657539	-73.1548782378728
EPI_ISL_2597292	-39.5437603684481	-72.5448280294926
EPI_ISL_2597293	-39.8917927715992	-73.0456068888571
EPI_ISL_2597295	-39.7997083103669	-73.039273877473
EPI_ISL_2659165	-37.4733745209282	-72.95372231333
EPI_ISL_2663414	-41.5485750873876	-73.161826290026
EPI_ISL_2663446	-34.1138231603233	-70.5649355120096
EPI_ISL_2756263	-27.3975229868289	-70.6005544437967
