transmission_lineage	last_sampling_date
Alpha_TL_13	2021-02-14
Delta_TL_10	2021-10-07
Delta_TL_166	2021-10-02
Delta_TL_179	2021-10-02
Delta_TL_186	2021-10-10
Delta_TL_191	2021-10-02
Delta_TL_254	2021-10-06
Delta_TL_64	2021-09-21
Gamma_TL_35	2021-09-21
Gamma_TL_55	2021-09-27
Lambda_TL_103	2021-09-21
Lambda_TL_104	2021-09-10
Lambda_TL_107	2021-09-13
Lambda_TL_90	2021-08-20
Lambda_TL_95	2021-09-12
Mu_TL_15	2021-09-25
Mu_TL_26	2021-09-22
Mu_TL_61	2021-09-24
Mu_TL_73	2021-10-02
Mu_TL_82	2021-09-21
